date,categorie,sous_categorie,quantite,z_score,type_anomalie
2026-01-06,Internet Fixe,ADSL,9,4.51,Pic (vente inhabituellement haute)
2026-02-05,Mobile,Postpaye,27,3.9,Pic (vente inhabituellement haute)
2024-04-24,Internet Fixe,ADSL,8,3.87,Pic (vente inhabituellement haute)
2025-06-19,Internet Fixe,VDSL,16,3.84,Pic (vente inhabituellement haute)
2026-01-23,Internet Fixe,FO,22,3.67,Pic (vente inhabituellement haute)
2026-04-28,Internet Fixe,FO,22,3.67,Pic (vente inhabituellement haute)
2026-04-30,Internet Fixe,FO,22,3.67,Pic (vente inhabituellement haute)
2026-06-26,Internet Fixe,WAFI,10,3.58,Pic (vente inhabituellement haute)
2026-02-05,Internet Fixe,WAFI,10,3.58,Pic (vente inhabituellement haute)
2026-01-22,Mobile,Postpaye,25,3.45,Pic (vente inhabituellement haute)
2025-04-17,Internet Fixe,Rapido,12,3.39,Pic (vente inhabituellement haute)
2026-02-09,Internet Fixe,Rapido,12,3.39,Pic (vente inhabituellement haute)
2024-05-13,Internet Fixe,ADSL,7,3.23,Pic (vente inhabituellement haute)
2024-01-25,Internet Fixe,ADSL,7,3.23,Pic (vente inhabituellement haute)
2025-04-16,Internet Fixe,ADSL,7,3.23,Pic (vente inhabituellement haute)
2024-03-22,Internet Fixe,ADSL,7,3.23,Pic (vente inhabituellement haute)
2025-12-22,Internet Fixe,ADSL,7,3.23,Pic (vente inhabituellement haute)
2026-04-15,Internet Fixe,ADSL,7,3.23,Pic (vente inhabituellement haute)
2026-03-30,Internet Fixe,ADSL,7,3.23,Pic (vente inhabituellement haute)
2025-09-04,Internet Fixe,ADSL,7,3.23,Pic (vente inhabituellement haute)
2026-05-22,Internet Fixe,FO,20,3.15,Pic (vente inhabituellement haute)
2026-03-06,Internet Fixe,FO,20,3.15,Pic (vente inhabituellement haute)
2025-05-08,Internet Fixe,VDSL,14,3.14,Pic (vente inhabituellement haute)
2025-03-17,Internet Fixe,VDSL,14,3.14,Pic (vente inhabituellement haute)
2025-10-23,Internet Fixe,WAFI,9,3.08,Pic (vente inhabituellement haute)
2025-07-25,Internet Fixe,WAFI,9,3.08,Pic (vente inhabituellement haute)
2024-11-21,Internet Fixe,WAFI,9,3.08,Pic (vente inhabituellement haute)
2024-10-07,Internet Fixe,WAFI,9,3.08,Pic (vente inhabituellement haute)
2025-09-25,Internet Fixe,WAFI,9,3.08,Pic (vente inhabituellement haute)
2026-03-02,Internet Fixe,WAFI,9,3.08,Pic (vente inhabituellement haute)
2026-06-30,Internet Fixe,WAFI,9,3.08,Pic (vente inhabituellement haute)
