categorie,annee,mois,objectif_mensuel
Internet Fixe,2026,1,1309
Internet Fixe,2027,1,1479
Internet Fixe,2026,2,1429
Internet Fixe,2027,2,1605
Internet Fixe,2026,3,1674
Internet Fixe,2027,3,1831
Internet Fixe,2026,4,1511
Internet Fixe,2027,4,1616
Internet Fixe,2026,5,1637
Internet Fixe,2027,5,1983
Internet Fixe,2026,6,1426
Internet Fixe,2027,6,1587
Internet Fixe,2026,7,1526
Internet Fixe,2027,7,1643
Internet Fixe,2026,8,1245
Internet Fixe,2027,8,1517
Internet Fixe,2026,9,1236
Internet Fixe,2027,9,1470
Internet Fixe,2026,10,1261
Internet Fixe,2027,10,1429
Internet Fixe,2026,11,1149
Internet Fixe,2027,11,1362
Internet Fixe,2026,12,1306
Internet Fixe,2027,12,1413
Mobile,2026,1,1604
Mobile,2027,1,1877
Mobile,2026,2,1515
Mobile,2027,2,1642
Mobile,2026,3,1851
Mobile,2027,3,1942
Mobile,2026,4,1754
Mobile,2027,4,2323
Mobile,2026,5,1925
Mobile,2027,5,2287
Mobile,2026,6,1765
Mobile,2027,6,2090
Mobile,2026,7,1725
Mobile,2027,7,2057
Mobile,2026,8,1669
Mobile,2027,8,1885
Mobile,2026,9,1567
Mobile,2027,9,1670
Mobile,2026,10,1637
Mobile,2027,10,1794
Mobile,2026,11,1516
Mobile,2027,11,1694
Mobile,2026,12,1732
Mobile,2027,12,1874
