ds,categorie,prevision,prevision_min,prevision_max,annee,mois
2024-01-01,Internet Fixe,1065.1331179886581,1041.3975533086743,1089.333515992869,2024,1
2024-02-01,Internet Fixe,1081.659505346074,1057.2214449878772,1104.526952152195,2024,2
2024-03-01,Internet Fixe,1178.1512050564213,1156.015332562604,1201.622090496799,2024,3
2024-04-01,Internet Fixe,1217.690161922148,1193.3261661331999,1242.0970196064577,2024,4
2024-05-01,Internet Fixe,1272.965454067627,1248.260882435496,1298.1656890816635,2024,5
2024-06-01,Internet Fixe,1091.6618257449843,1067.5969465299254,1115.5643924771566,2024,6
2024-07-01,Internet Fixe,1142.1871620399374,1118.843577191999,1166.0349443857265,2024,7
2024-08-01,Internet Fixe,1014.7555838665278,992.045326135638,1037.9042965426409,2024,8
2024-09-01,Internet Fixe,955.654418514864,932.3823384374724,979.3040987083817,2024,9
2024-10-01,Internet Fixe,965.4873342272289,941.5089696135773,989.0544213474308,2024,10
2024-11-01,Internet Fixe,972.6908991178946,950.8175913667756,996.1647944369078,2024,11
2024-12-01,Internet Fixe,1103.2461430612648,1079.833250981398,1126.6088672792225,2024,12
2025-01-01,Internet Fixe,1214.3401690073124,1189.0228164777518,1236.7338285912447,2025,1
2025-02-01,Internet Fixe,1177.8651159616436,1154.6116180320028,1201.874507686577,2025,2
2025-03-01,Internet Fixe,1345.5379235851528,1321.8811972127771,1368.5559468290398,2025,3
2025-04-01,Internet Fixe,1377.415856019207,1353.5105613064272,1401.0631630260011,2025,4
2025-05-01,Internet Fixe,1396.3509716023586,1372.0166160837841,1421.4053414295545,2025,5
2025-06-01,Internet Fixe,1304.770684244663,1281.5962340922617,1327.4106447852348,2025,6
2025-07-01,Internet Fixe,1286.758857832779,1263.6291571461518,1311.8166440179998,2025,7
2025-08-01,Internet Fixe,1135.2409283218267,1110.0418677141188,1159.5205395272774,2025,8
2025-09-01,Internet Fixe,1086.3900371127265,1063.0721186710693,1110.2479508428385,2025,9
2025-10-01,Internet Fixe,1143.6321722948182,1119.164173288777,1168.728065467772,2025,10
2025-11-01,Internet Fixe,1091.4503032244224,1068.497983000078,1113.7906434510226,2025,11
2025-12-01,Internet Fixe,1197.8667226571874,1173.6373362042905,1221.6683845196544,2025,12
2026-01-01,Internet Fixe,1349.6171172670379,1326.5020398777024,1373.2979767428715,2026,1
2026-02-01,Internet Fixe,1327.5690722665122,1303.2552526797217,1352.9082609449983,2026,2
2026-03-01,Internet Fixe,1461.1460726140176,1437.4949677735888,1484.7822920419194,2026,3
2026-04-01,Internet Fixe,1485.7638565252294,1462.4146785536068,1509.6603218533464,2026,4
2026-05-01,Internet Fixe,1475.5415259644515,1452.8070501074042,1500.9719501528352,2026,5
2026-06-01,Internet Fixe,1479.4462510737849,1455.2498855420977,1505.6249863225657,2026,6
2026-07-01,Internet Fixe,1397.441492728999,1374.3098431754881,1420.3883660564745,2026,7
2026-08-01,Internet Fixe,1228.8951134744505,1205.6732290035377,1252.6474413193778,2026,8
2026-09-01,Internet Fixe,1197.2396271081354,1173.3265168784776,1222.110557268454,2026,9
2026-10-01,Internet Fixe,1303.8066936259247,1281.0060549514083,1328.5370896927486,2026,10
2026-11-01,Internet Fixe,1194.5336077086897,1172.2259005494261,1221.3041232382427,2026,11
2026-12-01,Internet Fixe,1280.9987721761406,1256.6626558551081,1306.291690077197,2026,12
2027-01-01,Internet Fixe,1476.9421516894379,1452.4712747583617,1501.9782459700227,2027,1
2027-02-01,Internet Fixe,1471.520545219905,1447.934705634229,1496.6302276689737,2027,2
2027-03-01,Internet Fixe,1573.0684832955976,1548.689576518007,1596.622463020748,2027,3
2027-04-01,Internet Fixe,1593.646901616748,1567.1445954296728,1618.3216705022905,2027,4
2027-05-01,Internet Fixe,1555.5961879811869,1530.577328984308,1582.472484439546,2027,5
2027-06-01,Internet Fixe,1654.5102913665864,1626.3304629840889,1681.4463366173302,2027,6
2027-07-01,Internet Fixe,1507.158132423613,1482.7941290214344,1534.646723302895,2027,7
2027-08-01,Internet Fixe,1322.5336549454037,1296.8222755419297,1348.8359095487554,2027,8
2027-09-01,Internet Fixe,1308.8822969326275,1278.6042146928157,1335.7143498551989,2027,9
2027-10-01,Internet Fixe,1463.7217826188985,1434.688656350437,1491.9057790062855,2027,10
2027-11-01,Internet Fixe,1296.6970891482515,1266.0986997700559,1325.6304393979192,2027,11
2027-12-01,Internet Fixe,1364.5149136081398,1333.6257831090627,1394.1840311783974,2027,12
2024-01-01,Mobile,1343.72765639731,1312.0484510666095,1374.0458979107384,2024,1
2024-02-01,Mobile,1245.2766428595505,1212.3157066781712,1274.0103902214103,2024,2
2024-03-01,Mobile,1492.7719301795182,1459.800818647698,1527.0639544637097,2024,3
2024-04-01,Mobile,1470.5318952009334,1437.3402506535922,1500.7878271422703,2024,4
2024-05-01,Mobile,1536.9668251918026,1503.864636004014,1569.442675820578,2024,5
2024-06-01,Mobile,1448.0645422611046,1415.8080681278896,1478.478078975875,2024,6
2024-07-01,Mobile,1382.531469157435,1350.76522858748,1412.5449173951918,2024,7
2024-08-01,Mobile,1315.7489944621177,1282.3241873250481,1347.3385419929782,2024,8
2024-09-01,Mobile,1199.7801910441965,1166.9246049443173,1231.0910970640568,2024,9
2024-10-01,Mobile,1155.7911780595937,1126.192924492555,1188.8187456216324,2024,10
2024-11-01,Mobile,1193.3900365106103,1161.909503159713,1224.573744992339,2024,11
2024-12-01,Mobile,1391.8627689393568,1358.782679568531,1422.8719072061476,2024,12
2025-01-01,Mobile,1448.3710096805562,1417.4727397124873,1480.1937071364775,2025,1
2025-02-01,Mobile,1406.2942077429213,1375.853115171759,1440.5555570163299,2025,2
2025-03-01,Mobile,1650.9871328965407,1620.0445475019249,1684.4760709361974,2025,3
2025-04-01,Mobile,1679.5936282469304,1649.0303879314934,1712.6192220617368,2025,4
2025-05-01,Mobile,1683.7748740937047,1653.282069544508,1716.2935205901908,2025,5
2025-06-01,Mobile,1575.455863331938,1543.4503194934166,1605.096448287476,2025,6
2025-07-01,Mobile,1642.356595143981,1607.3729547769508,1672.8470948595905,2025,7
2025-08-01,Mobile,1384.1876795115513,1352.2804332289172,1415.6360292828435,2025,8
2025-09-01,Mobile,1383.2007920541812,1351.8311158516735,1411.2718151382567,2025,9
2025-10-01,Mobile,1383.273641560752,1350.333552174388,1413.2126691269889,2025,10
2025-11-01,Mobile,1337.7183024692893,1304.6258766957549,1368.6620116690108,2025,11
2025-12-01,Mobile,1505.2731017533742,1474.6288249754637,1534.2240997289,2025,12
2026-01-01,Mobile,1630.0057535370263,1600.7016556547533,1661.9072263760474,2026,1
