annee,mois,region,categorie,realisation
2024,1,Bizerte,Internet Fixe,122
2024,1,Bizerte,Mobile,213
2024,1,Gabes,Internet Fixe,69
2024,1,Gabes,Mobile,101
2024,1,Grand Tunis,Internet Fixe,356
2024,1,Grand Tunis,Mobile,424
2024,1,Kairouan,Internet Fixe,79
2024,1,Kairouan,Mobile,46
2024,1,Nabeul,Internet Fixe,148
2024,1,Nabeul,Mobile,137
2024,1,Sfax,Internet Fixe,168
2024,1,Sfax,Mobile,217
2024,1,Sousse,Internet Fixe,129
2024,1,Sousse,Mobile,233
2024,2,Bizerte,Internet Fixe,103
2024,2,Bizerte,Mobile,191
2024,2,Gabes,Internet Fixe,115
2024,2,Gabes,Mobile,104
2024,2,Grand Tunis,Internet Fixe,383
2024,2,Grand Tunis,Mobile,261
2024,2,Kairouan,Internet Fixe,79
2024,2,Kairouan,Mobile,126
2024,2,Nabeul,Internet Fixe,96
2024,2,Nabeul,Mobile,250
2024,2,Sfax,Internet Fixe,99
2024,2,Sfax,Mobile,224
2024,2,Sousse,Internet Fixe,224
2024,2,Sousse,Mobile,106
2024,3,Bizerte,Internet Fixe,142
2024,3,Bizerte,Mobile,125
2024,3,Gabes,Internet Fixe,111
2024,3,Gabes,Mobile,184
2024,3,Grand Tunis,Internet Fixe,385
2024,3,Grand Tunis,Mobile,387
2024,3,Kairouan,Internet Fixe,56
2024,3,Kairouan,Mobile,72
2024,3,Nabeul,Internet Fixe,140
2024,3,Nabeul,Mobile,207
2024,3,Sfax,Internet Fixe,145
2024,3,Sfax,Mobile,260
2024,3,Sousse,Internet Fixe,167
2024,3,Sousse,Mobile,240
2024,4,Bizerte,Internet Fixe,97
2024,4,Bizerte,Mobile,168
2024,4,Gabes,Internet Fixe,133
2024,4,Gabes,Mobile,72
2024,4,Grand Tunis,Internet Fixe,263
2024,4,Grand Tunis,Mobile,507
2024,4,Kairouan,Internet Fixe,141
2024,4,Kairouan,Mobile,65
2024,4,Nabeul,Internet Fixe,129
2024,4,Nabeul,Mobile,176
2024,4,Sfax,Internet Fixe,166
2024,4,Sfax,Mobile,209
2024,4,Sousse,Internet Fixe,274
2024,4,Sousse,Mobile,257
2024,5,Bizerte,Internet Fixe,163
2024,5,Bizerte,Mobile,146
2024,5,Gabes,Internet Fixe,79
2024,5,Gabes,Mobile,156
2024,5,Grand Tunis,Internet Fixe,381
2024,5,Grand Tunis,Mobile,492
2024,5,Kairouan,Internet Fixe,58
2024,5,Kairouan,Mobile,118
2024,5,Nabeul,Internet Fixe,134
2024,5,Nabeul,Mobile,49
2024,5,Sfax,Internet Fixe,187
2024,5,Sfax,Mobile,304
