date,categorie,sous_categorie,quantite,region
2024-01-01,Internet Fixe,Rapido,6,Bizerte
2024-01-01,Internet Fixe,ADSL,1,Sfax
2024-01-01,Internet Fixe,VDSL,7,Gabes
2024-01-01,Internet Fixe,FO,10,Nabeul
2024-01-01,Internet Fixe,WAFI,4,Grand Tunis
2024-01-01,Internet Fixe,Box,16,Kairouan
2024-01-01,Mobile,Prepaye,20,Bizerte
2024-01-01,Mobile,Postpaye,10,Bizerte
2024-01-01,Mobile,Data,16,Grand Tunis
2024-01-02,Internet Fixe,Rapido,6,Sfax
2024-01-02,Internet Fixe,ADSL,1,Sfax
2024-01-02,Internet Fixe,VDSL,1,Kairouan
2024-01-02,Internet Fixe,FO,10,Nabeul
2024-01-02,Internet Fixe,WAFI,4,Bizerte
2024-01-02,Internet Fixe,Box,14,Sfax
2024-01-02,Mobile,Prepaye,31,Grand Tunis
2024-01-02,Mobile,Postpaye,4,Sousse
2024-01-02,Mobile,Data,12,Grand Tunis
2024-01-03,Internet Fixe,Rapido,5,Bizerte
2024-01-03,Internet Fixe,ADSL,0,Nabeul
2024-01-03,Internet Fixe,VDSL,3,Bizerte
2024-01-03,Internet Fixe,FO,8,Sfax
2024-01-03,Internet Fixe,WAFI,4,Kairouan
2024-01-03,Internet Fixe,Box,21,Gabes
2024-01-03,Mobile,Prepaye,21,Bizerte
2024-01-03,Mobile,Postpaye,15,Grand Tunis
2024-01-03,Mobile,Data,10,Sousse
2024-01-04,Internet Fixe,Rapido,6,Grand Tunis
2024-01-04,Internet Fixe,ADSL,2,Grand Tunis
2024-01-04,Internet Fixe,VDSL,3,Nabeul
2024-01-04,Internet Fixe,FO,6,Bizerte
2024-01-04,Internet Fixe,WAFI,1,Kairouan
2024-01-04,Internet Fixe,Box,28,Sfax
2024-01-04,Mobile,Prepaye,30,Sfax
2024-01-04,Mobile,Postpaye,10,Sousse
2024-01-04,Mobile,Data,21,Grand Tunis
2024-01-05,Internet Fixe,Rapido,4,Grand Tunis
2024-01-05,Internet Fixe,ADSL,0,Sousse
2024-01-05,Internet Fixe,VDSL,4,Grand Tunis
2024-01-05,Internet Fixe,FO,8,Nabeul
2024-01-05,Internet Fixe,WAFI,4,Sfax
2024-01-05,Internet Fixe,Box,28,Gabes
2024-01-05,Mobile,Prepaye,25,Nabeul
2024-01-05,Mobile,Postpaye,16,Sfax
2024-01-05,Mobile,Data,20,Gabes
2024-01-06,Internet Fixe,Rapido,2,Bizerte
2024-01-06,Internet Fixe,ADSL,0,Sfax
2024-01-06,Internet Fixe,VDSL,0,Grand Tunis
2024-01-06,Internet Fixe,FO,4,Nabeul
2024-01-06,Internet Fixe,WAFI,1,Grand Tunis
2024-01-06,Internet Fixe,Box,9,Grand Tunis
2024-01-06,Mobile,Prepaye,8,Grand Tunis
2024-01-06,Mobile,Postpaye,5,Bizerte
2024-01-06,Mobile,Data,7,Nabeul
2024-01-07,Internet Fixe,Rapido,3,Nabeul
2024-01-07,Internet Fixe,ADSL,1,Bizerte
2024-01-07,Internet Fixe,VDSL,2,Sfax
2024-01-07,Internet Fixe,FO,5,Sousse
